date,mine_id,mine_name,altitude_m,distance_km,priority_level,item_id,item_name,unit_cost,holding_cost_factor,criticality,base_consumption,day_of_year,month,quarter,is_weekend,is_month_end,temperature_c,wind_speed_kmh,visibility_km,weather_state,demand_units
2024-01-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,27,1,1,1,0,7.06,15.29,8.47,cloudy,53
2024-01-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,28,1,1,1,0,13.14,16.34,10.78,clear,51
2024-01-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,29,1,1,0,0,11.86,16.84,12.19,clear,55
2024-01-30,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,30,1,1,0,0,13.05,14.24,8.71,cloudy,53
2024-01-31,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,31,1,1,0,1,13.59,16.41,13.07,clear,58
2024-02-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,32,2,1,0,0,17.86,12.43,15.39,clear,49
2024-02-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,33,2,1,0,0,14.75,12.69,17.43,clear,55
2024-02-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,34,2,1,1,0,12.38,6.12,15.45,clear,55
2024-02-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,35,2,1,1,0,13.24,14.48,11.28,clear,43
2024-02-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,36,2,1,0,0,9.87,2.23,18.7,clear,51
2024-02-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,37,2,1,0,0,9.69,14.11,12.7,clear,53
2024-02-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,38,2,1,0,0,7.68,10.58,15.19,clear,54
2024-02-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,39,2,1,0,0,9.0,14.37,12.54,clear,57
2024-02-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,40,2,1,0,0,14.06,5.69,14.92,clear,53
2024-02-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,41,2,1,1,0,10.25,0.87,20.25,clear,48
2024-02-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,42,2,1,1,0,13.75,9.61,10.84,clear,53
2024-02-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,43,2,1,0,0,15.87,5.3,15.36,clear,56
2024-02-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,44,2,1,0,0,13.18,0.77,21.06,clear,56
2024-02-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,45,2,1,0,0,14.18,15.93,7.29,cloudy,56
2024-02-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,46,2,1,0,0,10.49,20.8,6.11,cloudy,59
2024-02-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,47,2,1,0,0,12.48,6.29,16.34,clear,52
2024-02-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,48,2,1,1,0,16.47,10.49,13.62,clear,47
2024-02-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,49,2,1,1,0,10.01,8.98,11.59,clear,52
2024-02-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,50,2,1,0,0,15.23,6.75,13.71,clear,48
2024-02-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,51,2,1,0,0,17.19,14.57,8.12,cloudy,56
2024-02-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,52,2,1,0,0,14.04,16.53,11.89,clear,53
2024-02-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,53,2,1,0,0,8.71,5.15,14.86,clear,49
2024-02-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,54,2,1,0,0,13.75,10.52,16.68,clear,51
2024-02-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,55,2,1,1,0,12.75,17.85,9.25,cloudy,51
2024-02-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,56,2,1,1,0,14.14,14.17,10.43,clear,53
2024-02-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,57,2,1,0,0,14.82,14.96,9.82,cloudy,54
2024-02-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,58,2,1,0,0,11.04,18.04,8.44,cloudy,60
2024-02-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,59,2,1,0,0,10.88,17.87,9.31,cloudy,56
2024-02-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,60,2,1,0,1,12.62,15.81,15.62,clear,63
2024-03-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,61,3,1,0,0,10.59,10.42,12.05,clear,52
2024-03-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,62,3,1,1,0,13.38,7.16,13.75,clear,49
2024-03-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,63,3,1,1,0,12.71,9.99,13.15,clear,50
2024-03-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,64,3,1,0,0,19.57,6.08,17.36,clear,53
2024-03-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,65,3,1,0,0,10.42,2.52,13.62,clear,57
2024-03-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,66,3,1,0,0,11.02,7.44,15.28,clear,46
2024-03-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,67,3,1,0,0,14.02,11.19,10.61,clear,61
2024-03-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,68,3,1,0,0,15.13,5.44,16.5,clear,56
2024-03-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,69,3,1,1,0,18.65,7.74,13.05,clear,48
2024-03-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,70,3,1,1,0,16.97,7.9,8.98,cloudy,49
2024-03-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,71,3,1,0,0,14.95,16.9,10.36,clear,50
2024-03-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,72,3,1,0,0,13.6,6.54,15.53,clear,55
2024-03-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,73,3,1,0,0,15.08,16.77,8.34,cloudy,58
2024-03-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,74,3,1,0,0,11.28,7.7,12.74,clear,52
2024-03-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,75,3,1,0,0,11.99,16.6,6.81,cloudy,59
2024-03-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,76,3,1,1,0,9.04,16.25,11.58,clear,46
2024-03-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,77,3,1,1,0,12.14,13.83,13.03,clear,45
2024-03-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,78,3,1,0,0,15.08,3.71,14.21,clear,59
2024-03-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,79,3,1,0,0,12.11,14.43,9.6,cloudy,57
2024-03-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,80,3,1,0,0,10.65,7.98,13.87,clear,57
2024-03-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,81,3,1,0,0,11.64,6.94,19.53,clear,50
2024-03-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,82,3,1,0,0,14.31,15.99,11.2,clear,49
2024-03-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,83,3,1,1,0,11.81,16.84,7.51,cloudy,49
2024-03-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,84,3,1,1,0,14.52,3.29,17.03,clear,45
2024-03-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,85,3,1,0,0,9.06,9.17,10.39,clear,54
2024-03-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,86,3,1,0,0,10.11,16.42,11.37,clear,49
2024-03-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,87,3,1,0,0,10.96,15.45,13.96,clear,48
2024-03-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,88,3,1,0,0,8.89,13.07,15.16,clear,52
2024-03-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,89,3,1,0,0,19.46,7.85,15.69,clear,47
2024-03-30,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,90,3,1,1,0,9.3,12.4,10.52,clear,41
2024-03-31,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,91,3,1,1,1,14.26,6.7,11.79,clear,53
2024-04-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,92,4,2,0,0,10.24,13.98,7.93,cloudy,48
2024-04-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,93,4,2,0,0,10.55,9.54,7.06,cloudy,56
2024-04-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,94,4,2,0,0,12.52,7.88,15.59,clear,47
2024-04-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,95,4,2,0,0,8.04,11.85,11.85,clear,44
2024-04-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,96,4,2,0,0,9.95,6.98,16.51,clear,50
2024-04-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,97,4,2,1,0,11.17,7.87,17.21,clear,47
2024-04-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,98,4,2,1,0,9.34,4.7,15.87,clear,48
2024-04-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,99,4,2,0,0,9.31,1.59,17.53,clear,51
2024-04-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,100,4,2,0,0,14.0,11.46,11.25,clear,47
2024-04-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,101,4,2,0,0,13.71,3.24,15.62,clear,53
2024-04-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,102,4,2,0,0,10.01,6.9,16.15,clear,54
2024-04-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,103,4,2,0,0,10.81,9.85,12.69,clear,46
2024-04-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,104,4,2,1,0,14.02,4.36,15.12,clear,45
2024-04-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,105,4,2,1,0,7.27,2.98,16.47,clear,45
2024-04-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,106,4,2,0,0,11.59,6.42,16.74,clear,51
2024-04-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,107,4,2,0,0,15.58,10.99,10.98,clear,49
2024-04-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,108,4,2,0,0,15.46,12.76,11.47,clear,49
2024-04-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,109,4,2,0,0,5.6,1.21,17.94,clear,52
2024-04-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,110,4,2,0,0,8.44,12.21,14.45,clear,46
2024-04-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,111,4,2,1,0,10.66,6.97,13.99,clear,48
2024-04-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,112,4,2,1,0,6.83,3.19,14.83,clear,49
2024-04-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,113,4,2,0,0,8.36,4.65,14.61,clear,54
2024-04-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,114,4,2,0,0,9.58,13.41,13.61,clear,42
2024-04-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,115,4,2,0,0,13.32,10.31,17.32,clear,48
2024-04-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,116,4,2,0,0,9.59,9.03,10.6,clear,42
2024-04-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,117,4,2,0,0,10.13,10.25,10.46,clear,40
2024-04-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,118,4,2,1,0,10.76,14.43,10.41,clear,45
2024-04-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,119,4,2,1,0,10.72,8.35,14.07,clear,43
2024-04-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,120,4,2,0,0,9.32,9.33,15.07,clear,49
2024-04-30,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,121,4,2,0,1,6.14,15.91,8.08,cloudy,56
2024-05-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,122,5,2,0,0,10.98,7.17,12.08,clear,52
2024-05-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,123,5,2,0,0,9.97,12.95,11.83,clear,48
2024-05-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,124,5,2,0,0,6.03,6.3,14.28,clear,57
2024-05-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,125,5,2,1,0,6.94,6.92,16.58,clear,45
2024-05-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,126,5,2,1,0,10.74,8.88,14.63,clear,50
2024-05-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,127,5,2,0,0,9.91,12.69,12.88,clear,39
2024-05-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,128,5,2,0,0,6.47,16.85,9.34,cloudy,53
2024-05-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,129,5,2,0,0,7.47,10.36,18.0,clear,46
2024-05-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,130,5,2,0,0,7.66,0.89,15.71,clear,40
2024-05-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,131,5,2,0,0,9.44,13.78,12.46,clear,48
2024-05-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,132,5,2,1,0,10.89,24.81,2.8,white_wind,48
2024-05-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,133,5,2,1,0,7.8,10.85,10.21,clear,44
2024-05-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,134,5,2,0,0,10.43,0.05,16.64,clear,50
2024-05-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,135,5,2,0,0,9.56,11.43,15.87,clear,41
2024-05-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,136,5,2,0,0,7.76,10.51,13.32,clear,49
2024-05-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,137,5,2,0,0,3.5,10.12,11.64,clear,46
2024-05-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,138,5,2,0,0,4.41,16.44,10.61,clear,50
2024-05-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,139,5,2,1,0,8.7,19.15,8.5,cloudy,43
2024-05-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,140,5,2,1,0,2.43,15.11,9.36,cloudy,42
2024-05-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,141,5,2,0,0,6.87,10.33,9.76,cloudy,47
2024-05-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,142,5,2,0,0,8.94,18.01,12.16,cloudy,47
2024-05-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,143,5,2,0,0,6.68,2.42,17.25,clear,43
2024-05-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,144,5,2,0,0,4.66,7.22,19.17,clear,43
2024-05-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,145,5,2,0,0,3.91,8.02,16.06,clear,40
2024-05-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,146,5,2,1,0,7.93,11.59,13.42,clear,39
2024-05-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,147,5,2,1,0,6.94,14.96,9.56,cloudy,45
2024-05-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,148,5,2,0,0,4.91,10.85,10.17,clear,44
2024-05-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,149,5,2,0,0,8.14,6.76,14.14,clear,47
2024-05-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,150,5,2,0,0,7.48,18.18,6.44,cloudy,45
2024-05-30,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,151,5,2,0,0,9.68,11.06,13.9,clear,39
2024-05-31,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,152,5,2,0,1,6.49,13.23,14.98,clear,50
2024-06-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,153,6,2,1,0,4.52,16.07,9.39,cloudy,39
2024-06-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,154,6,2,1,0,4.44,13.15,13.5,clear,39
2024-06-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,155,6,2,0,0,-0.18,13.32,9.82,cloudy,49
2024-06-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,156,6,2,0,0,4.89,19.4,7.64,cloudy,41
2024-06-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,157,6,2,0,0,4.34,14.27,9.07,cloudy,45
2024-06-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,158,6,2,0,0,0.92,18.69,3.96,white_wind,49
2024-06-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,159,6,2,0,0,4.04,16.94,9.45,cloudy,47
2024-06-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,160,6,2,1,0,7.33,25.93,5.32,cloudy,44
2024-06-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,161,6,2,1,0,2.0,16.44,12.12,clear,40
2024-06-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,162,6,2,0,0,1.3,17.97,10.76,clear,41
2024-06-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,163,6,2,0,0,6.32,20.91,9.32,cloudy,45
2024-06-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,164,6,2,0,0,5.01,14.84,8.43,cloudy,48
2024-06-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,165,6,2,0,0,10.94,10.8,13.61,clear,42
2024-06-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,166,6,2,0,0,-0.14,11.94,15.51,clear,41
2024-06-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,167,6,2,1,0,4.82,12.16,12.75,clear,40
2024-06-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,168,6,2,1,0,3.68,9.41,17.32,clear,38
2024-06-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,169,6,2,0,0,2.91,17.19,13.85,clear,37
2024-06-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,170,6,2,0,0,4.9,11.67,11.57,clear,42
2024-06-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,171,6,2,0,0,2.42,16.78,8.08,cloudy,38
2024-06-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,172,6,2,0,0,-2.48,14.83,8.91,cloudy,44
2024-06-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,173,6,2,0,0,0.12,15.7,6.81,cloudy,40
2024-06-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,174,6,2,1,0,5.52,19.45,7.13,cloudy,39
2024-06-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,175,6,2,1,0,4.91,13.04,14.14,clear,39
2024-06-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,176,6,2,0,0,0.92,20.29,3.01,white_wind,55
2024-06-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,177,6,2,0,0,2.98,26.03,2.7,white_wind,49
2024-06-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,178,6,2,0,0,8.56,18.86,8.29,cloudy,47
2024-06-27,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,179,6,2,0,0,1.4,12.28,9.93,cloudy,48
2024-06-28,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,180,6,2,0,0,1.32,13.45,10.11,clear,42
2024-06-29,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,181,6,2,1,0,1.71,15.82,8.96,cloudy,39
2024-06-30,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,182,6,2,1,1,2.63,13.91,10.48,clear,37
2024-07-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,183,7,3,0,0,0.12,11.71,10.54,clear,39
2024-07-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,184,7,3,0,0,2.39,18.75,6.84,cloudy,39
2024-07-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,185,7,3,0,0,-4.11,16.67,11.72,clear,38
2024-07-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,186,7,3,0,0,1.48,19.31,10.65,cloudy,47
2024-07-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,187,7,3,0,0,0.65,25.46,2.23,white_wind,46
2024-07-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,188,7,3,1,0,-0.13,17.1,3.38,white_wind,39
2024-07-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,189,7,3,1,0,-0.89,11.58,14.55,clear,41
2024-07-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,190,7,3,0,0,-1.34,16.47,7.06,cloudy,44
2024-07-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,191,7,3,0,0,-1.96,23.65,6.64,cloudy,44
2024-07-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,192,7,3,0,0,-5.83,23.26,2.92,white_wind,38
2024-07-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,193,7,3,0,0,-0.81,22.48,9.61,cloudy,47
2024-07-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,194,7,3,0,0,2.5,15.79,15.7,clear,37
